iter	Passed	Remaining
898	2181	245
899	2184	242
900	2187	240
901	2190	238
902	2194	235
903	2197	233
904	2200	230
905	2203	228
906	2207	226
907	2210	223
908	2214	221
909	2217	219
910	2220	216
911	2223	214
912	2227	212
913	2230	209
914	2233	207
915	2236	205
916	2240	202
917	2243	200
918	2246	198
919	2249	195
920	2252	193
921	2256	190
922	2259	188
923	2262	186
924	2265	183
925	2268	181
926	2272	178
927	2275	176
928	2278	174
929	2282	171
930	2285	169
931	2288	166
932	2292	164
933	2295	162
934	2298	159
935	2301	157
936	2304	154
937	2308	152
938	2311	150
939	2314	147
940	2317	145
941	2320	142
942	2323	140
943	2327	138
944	2330	135
945	2333	133
946	2336	130
947	2339	128
948	2343	125
949	2345	123
950	2348	121
951	2352	118
952	2355	116
953	2358	113
954	2361	111
955	2365	108
956	2368	106
957	2371	103
958	2374	101
959	2377	99
960	2380	96
961	2383	94
962	2386	91
963	2389	89
964	2392	86
965	2395	84
966	2399	81
967	2402	79
968	2406	76
969	2409	74
970	2413	72
971	2416	69
972	2420	67
973	2423	64
974	2426	62
975	2430	59
976	2433	57
977	2436	54
978	2439	52
979	2442	49
980	2445	47
981	2448	44
982	2451	42
983	2454	39
984	2458	37
985	2462	34
986	2465	32
987	2468	29
988	2471	27
989	2475	25
990	2478	22
991	2481	20
992	2484	17
993	2488	15
994	2491	12
995	2494	10
996	2497	7
997	2501	5
998	2504	2
999	2507	0
